"","X","V6","V14","oldrange","recentrange"
"1",1,"Site","calibrated range",0,0
"2",2,"Abra del Cacoyuguin 1","1860-1300",1860,1300
"3",3,"Abra Rio Cacoyuguin II","4290-3870",4930,3870
"4",4,"Abra Rio Cacoyuguin IV","4870-4440",4870,4440
"5",5,"Aguas Gordas","1180-700",1180,700
"6",6,"Arroyo del Palo, Mayari","1060-720",1060,720
"7",7,"Caimanes III","2060-1300",2060,1300
"8",8,"Canimar 1","1180-700",1180,700
"9",9,"Canímar Abajo","4960-4440",4960,4440
"10",10,"Catunda","1990-1690",1990,1690
"11",11,"Cayo Caiman Mata del Coco","4720-4420",4720,4420
"12",12,"Cayo Contrabando","530-440",530,440
"13",13,"Cayo Felipe Este","1630-1410",1630,1410
"14",14,"Cayo Flores","3920-3700",3920,3700
"15",15,"Cayo Guillermo (Punta Morro)","1300-1170",1300,1170
"16",16,"Cayo Hijo de Guillermo Este","3210-2980",3210,2980
"17",17,"Cayo Hijo de Guillermo Oeste","1510-1330",1510,1330
"18",18,"Cayo Langosta","1210-1040",1210,1040
"19",19,"Chorro de Maita","740-530",740,530
"20",20,"Cueva #1 Punta del Este","970-680",970,680
"21",21,"Cueva #4 Punta del Este","1290-760",1290,760
"22",22,"Cueva Calero","1540-1280",1540,1280
"23",23,"Cueva de la Lechuza","6300-5740",6300,5740
"24",24,"Cueva de la Pintura","3340-2680",3340,2680
"25",25,"Cueva del Perico I","2150-1730",2150,1730
"26",26,"Cueva Funche","4860-4000",4860,4000
"27",27,"Damayajabo","3720-3220",3720,3220
"28",28,"El Boniato (El Palmar)","730-530",730,530
"29",29,"El Convento","690-550",690,550
"30",30,"El Guafe I","730-550",730,550
"31",31,"El Morrillo","700-480",700,480
"32",32,"El Porvenir","650-470",650,470
"33",33,"El Purial","3680-2790",3680,2790
"34",34,"Esterito","800-150",800,150
"35",35,"Jorajuria","4830-4440",4830,4440
"36",36,"Jucaro","730-550",730,550
"37",37,"La Guira de Barajagua","740-340",740,340
"38",38,"La Luz","1350-1180",1350,1180
"39",39,"Laguna de Limones","910-340",910,340
"40",40,"Las Obas","6290-5590",6290,5590
"41",41,"Levisa 1 (Far. de Lev.)","5320-4830",5320,4830
"42",42,"Levisa 8 (Cueva S. Rita)","2860-2740",2860,2740
"43",43,"Loma de la Campana","670-520",670,520
"44",44,"Loma de la Forestal","1170-680",1170,680
"45",45,"Loma de Ochile","920-700",920,700
"46",46,"Los Buchillones","1210-1040",1210,1040
"47",47,"Los Caracoles","2080-1870",2080,1870
"48",48,"Los Pedregales","1280-930",1280,930
"49",49,"Marien 2","2310-1740",2310,1740
"50",50,"Meijas","1180-730",1180,730
"51",51,"Mogote de la Cueva","1880-1280",1880,1280
"52",52,"Potrero del Mango","930-670",930,670
"53",53,"U.S. Naval Station Guantanamo Bay","2950-2570",2950,2570
"54",54,"Vega del Palmar","2330-2140",2330,2140
"55",55,"Ventas de Casanova","550-480",550,480
"56",56,"Victoria I","2340-1820",2340,1820
